
TABELA                          CAMPO                           
=============================== =============================== 
BOLETO_REMESSAS                 VALOR_TOTAL                     
BOLETO_RETORNOS                 VALOR_TOTAL                     
CAIXA_FECH_USUARIO              VALOR                           
CLIENTES                        VENDE_APRAZO                    
CLIENTES                        COBRANCA_VALOR                  
CLIENTES                        VALOR_SALARIAL                  
CLIENTES_CREDITO                VALOR                           
CLIENTES_GRUPO                  ID                              
CLIENTES_GRUPO                  GRUPO                           
COMANDA                         VALOR_FINAL                     
COMANDA_ITENS                   VALOR_UNITARIO                  
COMB_ABASTECIMENTO              PRECO                           
CONDICIONAL                     VALOR_FINAL                     
CONDICIONAL_ITENS               VALOR_UNITARIO                  
CONDICIONAL_ITENS               VALOR_CUSTO                     
CONDICIONAL_ITENS               VALOR_PRODUTOS                  
CONTAS_PAGAR                    ID                              
CONTAS_PAGAR                    ID_FORNECEDOR                   
CONTAS_PAGAR                    ID_CONTA_BANCARIA               
CONTAS_PAGAR                    ID_CARTAO                       
CONTAS_PAGAR                    DT_CONTA                        
CONTAS_PAGAR                    DT_VENC                         
CONTAS_PAGAR                    VLR_CONTA                       
CONTAS_PAGAR                    VLR_DESCONTO                    
CONTAS_PAGAR                    VLR_JUROS                       
CONTAS_PAGAR                    VLR_QUITACAO                    
CONTAS_PAGAR                    DT_QUITACAO                     
CONTAS_PAGAR                    NUMERO_DOCUMENTO                
CONTAS_PAGAR                    SITUACAO                        
CONTAS_PAGAR                    NRO_NF                          
CONTAS_PAGAR                    CENTRO_CUSTO                    
CONTAS_PAGAR                    PARCELA                         
CONTAS_PAGAR                    TIPO_OPERACAO                   
CONTAS_PAGAR                    TIPO_DOC                        
CONTAS_PAGAR                    CENTRO_CUSTO_DESCRICAO          
CONTAS_PAGAR                    ID_OPERADOR                     
CONTAS_PAGAR                    OPERADOR                        
CONTAS_PAGAR                    ID_NOTA_COMPRA                  
CONTAS_PAGAR                    HISTORICO                       
CONTAS_PAGAR                    FOTO                            
CONTAS_PAGAR                    VLR_BX_PARCIAL                  
DAV                             VALOR_VENDA                     
DAV                             VALOR_FINAL                     
DAV                             VALOR_RECEBIDO                  
DAV                             VALOR_CANCELADO                 
DAV                             VALOR_TROCA                     
DAV                             VALOR_CREDITO                   
DAV_FORMAS_PAGAMENTO            ID                              
DAV_FORMAS_PAGAMENTO            CODIGO                          
DAV_FORMAS_PAGAMENTO            DESCRICAO                       
DAV_FORMAS_PAGAMENTO            TEF                             
DAV_FORMAS_PAGAMENTO            IMPRIME_VINCULADO               
DAV_FORMAS_PAGAMENTO            PERMITE_TROCO                   
DAV_FORMAS_PAGAMENTO            TEF_TIPO_GP                     
DAV_FORMAS_PAGAMENTO            GERA_PARCELAS                   
DAV_FORMAS_PAGAMENTO            TIPO_PAGAMENTO                  
DAV_FORMAS_PAGAMENTO            VISIVEL                         
DAV_ITENS                       VALOR_UNITARIO                  
DAV_ITENS                       VALOR_CUSTO                     
DAV_ITENS                       VALOR_TOTAL                     
DAV_RECEITA_OCULAR              DT_ENTREGA                      
DAV_SANGRIA                     VALOR                           
DAV_SUPRIMENTO                  VALOR                           
DAV_TOTAL_TIPO_PGTO             ID_TIPO_PAGAMENTO               
DAV_TOTAL_TIPO_PGTO             VALOR                           
DESCONTOS_TIPO_PAGAMENTO        ID                              
DESCONTOS_TIPO_PAGAMENTO        DESCRICAO                       
DESCONTOS_TIPO_PAGAMENTO        TIPO_PAGAMENTO                  
DESCONTOS_TIPO_PAGAMENTO        PERCENTUAL                      
DEVOLUCAO_ITENS                 VALOR_UNITARIO                  
ECF_RECEBIMENTO_NAO_FISCAL      ID_ECF_TIPO_PAGAMENTO           
ECF_RECEBIMENTO_NAO_FISCAL      VALOR                           
ECF_SANGRIA                     VALOR                           
ECF_SUPRIMENTO                  VALOR                           
ECF_TIPO_PAGAMENTO              ID                              
ECF_TIPO_PAGAMENTO              CODIGO                          
ECF_TIPO_PAGAMENTO              DESCRICAO                       
ECF_TIPO_PAGAMENTO              TEF                             
ECF_TIPO_PAGAMENTO              IMPRIME_VINCULADO               
ECF_TIPO_PAGAMENTO              PERMITE_TROCO                   
ECF_TIPO_PAGAMENTO              TEF_TIPO_GP                     
ECF_TIPO_PAGAMENTO              GERA_PARCELAS                   
ECF_TIPO_PAGAMENTO              TIPO_PAGAMENTO                  
ECF_TOTAL_TIPO_PGTO             ID_ECF_TIPO_PAGAMENTO           
ECF_TOTAL_TIPO_PGTO             VALOR                           
ECF_VENDA_CABECALHO             VALOR_VENDA                     
ECF_VENDA_CABECALHO             VALOR_FINAL                     
