
    ID_GRUPO GRUPO                                 QTDE           COM_ESTOQUE 
============ ==================== ===================== ===================== 
           0 <null>                                1515                  1408 
          69 PARAFUSOS                              105                   105 
          70 GALPÃO                                  61                    48 
           4 FERRAMENTAS                             40                    37 
           8 ELETRICO                                24                    23 
          13 DIVERSOS                                22                    22 
          21 TINTAS,GESSO , MASSA                    19                    17 
           2 TUBOS PVC/GLV ESGOTO                    12                    12 
          59 MATERIAL HIDRÁULICO                     10                     8 
          10 ACESSÓRIOS P/BANHEIR                    10                     9 
          11 ACESSÓRIOS P/ COZINH                     8                     7 
           6 CONEXÃO PVC                              8                     8 
          17 CIMENTOS E ARGAMASSA                     6                     5 
          32 COLAS E ADESIVOS                         6                     5 
          15 ACESSÓRIO SEGURANÇA                      6                     6 
          40 INTERRUPTORES/MATERI                     6                     6 
           3 CONEXOES PVC DE ESGO                     6                     6 
          31 TUBO E CONEXÃO SOLDÁ                     5                     4 
          58 ACESSORIOS DIVERSOS                      5                     5 
          18 ACESSÓRIOS PARA CELU                     5                     5 
          37 MATERIAL PARA PINTUR                     4                     3 
          39 VEDAÇÃO DE ROSCAS E                      4                     3 
          12 ALVENARIA                                4                     3 
          26 ACESSÓRIOS P/ CONSTR                     4                     4 
           5 CONEXOES PREDIAL                         4                     4 
          33 ESMALTE SINTÉTICO E                      3                     2 
          25 FERRAGENS                                3                     3 
          38 IMPERMEABILIZANTE                        3                     3 
          51 TUBOS E CONEXÃO MARR                     3                     3 
          53 FECHADURAS, DOBRADIÇ                     2                     1 

