
    ID_MARCA MARCA                                 QTDE 
============ ==================== ===================== 
           0 <null>                                1795 
         172 MADEIRA SERRADA OU F                    15 
          37 KRONA                                   11 
           1 FORTLEV                                  8 
          38 PLUZIE                                   7 
          24 EDA                                      5 
          27 GLOBO                                    5 
          10 TRAMONTINA                               5 
          30 CONDOR                                   4 
          79 VIATEK                                   4 
         177 MEIKON                                   3 
         129 FOXLUX                                   3 
          15 TEK BOND                                 3 
         176 MEGA.MASSA                               3 
         106 3F                                       2 
          75 IFF                                      2 
          29 HERC                                     2 
          40 ILUMI                                    2 
         125 RAMADA                                   2 
         159 BLUKIT                                   2 
           4 LUCONI                                   2 
          66 XADREZ                                   2 
         192 VEDACIT                                  2 
          94 SECA MAX                                 2 
           6 GMC METAIS                               2 
         209 TINTAS LUX                               2 
         173 BELGO FÁCIL                              2 
          41 X9                                       1 
         140 PAD                                      1 
         183 ADE                                      1 

