
  ID_PRODUTO PRODUTO                                                                                                                  BARRAS                                       ESTOQUE           VALOR_VENDA STATUS                         
============ =============================================================================== ============================== ===================== ===================== ============================== 
        2861 088381530798                                                                                                             7898006105729                                 4.0000             88.000000 ATIVO                          
        2912 088381530798                                                                                                             7898501821728                                 6.0000             12.000000 ATIVO                          
        2917 3 INTERRUP SIMPLES                                                                                                       7891128013835                                55.0000              5.000000 ATIVO                          
        2776 600 - BOTINA DE ELASTICO RASPA RELAX PRETA -N. 39                                                                        7893030000347                                10.0000             66.000000 ATIVO                          
        2940 7897018210896                                                                                                            7898100558483                                22.0000             24.000000 ATIVO                          
        1698 7897801300865                                                                                                            7897801301503                                45.0000              2.000000 ATIVO                          
        2477 ABRAC NYLON 200X2.5 PT FOXLUX                                                                                            7898105771634                                 1.0000             18.960000 ATIVO                          
        3595 ABRACADEIRA 13 -16                                                                                                       7700010035957                                73.0000              2.000000 ATIVO                          
        3594 ABRACADEIRA 13 -19                                                                                                       7700010035940                               132.0000              2.000000 ATIVO                          
        3593 ABRACADEIRA 19 -27                                                                                                       7700010035933                                10.0000              6.000000 ATIVO                          
        3591 ABRACADEIRA 26 -38                                                                                                       7700010035919                                40.0000              8.000000 ATIVO                          
        4250 ABRACADEIRA 3.6X100                                                                                                      2010000002162                               100.0000              1.000000 ATIVO                          
        3592 ABRACADEIRA 32 -44                                                                                                       7700010035926                                 8.0000             10.000000 ATIVO                          
        4009 ABRACADEIRA 60 1/2                                                                                                       7897801311830                                11.0000             20.000000 ATIVO                          
        4101 ABRACADEIRA 7-9 W1                                                                                                       <null>                                       18.0000              5.000000 ATIVO                          
        3590 ABRACADEIRA 90 -110                                                                                                      7700010035902                                 6.0000             13.000000 ATIVO                          
        1119 ABRACADEIRA DE 60 X 3/4                                                                                                  7897801311793                                 9.0000             20.000000 ATIVO                          
        4070 ABRACADEIRA DE IRRIGACAO 32MM                                                                                            7700010040708                                 2.0000             15.000000 ATIVO                          
        3323 ABRACADEIRA DE NYLON - 2,5 X 100 - MILLA                                                                                 7897208680843                                99.0000              0.200000 ATIVO                          
        3321 ABRACADEIRA DE NYLON - 2,5 X 150 - MILLA                                                                                 7897208680867                               100.0000              0.400000 ATIVO                          
