
FIELD_NAME                      FIELD_TYPE                FIELD_LENGTH FIELD_SCALE FIELD_POSITION     NOT_NULL 
=============================== ========================= ============ =========== ============== ============ 
ID                              INTEGER                              4           0              0            1 
ALIQUOTA_ICMS                   SMALLINT                             2          -2              1            0 
NATUREZA_OPERACAO_NFE           VARCHAR                             65           0              2            0 
ALIQ_CREDITO_ICMS_SIMPLES       NUMERIC                              8          -4              3            0 
CODIGO_NFE                      VARCHAR                             15           0              4            0 
JUROS_TAXA                      SMALLINT                             2          -2              5            0 
MULTA_TAXA                      NUMERIC                              8          -2              6            0 
JUROS_CARENCIA                  INTEGER                              4           0              7            0 
IMPORACAO_NFE_COM_FINANC        CHAR                                 3           0              8            0 
NFE_CERTIFICADO_NUMSERIE        VARCHAR                            300           0              9            0 
NFE_CERTIFICADO_SENHA           VARCHAR                            100           0             10            0 
NFE_WEBSERVICE_UF               VARCHAR                              2           0             11            0 
NFE_WEBSERVICE_AMBIENTE         INTEGER                              4           0             12            0 
NFE_DANFE_LOGOMARCA             VARCHAR                            300           0             13            0 
NFE_DANFE_TIPO                  INTEGER                              4           0             14            0 
NFE_DANFE_EXPANDIRLOGOMARCA     INTEGER                              4           0             15            0 
NFE_FORMAEMISSAO                INTEGER                              4           0             16            0 
NFE_MODO_FRETE                  INTEGER                              4           0             17            0 
NFE_SERIE                       INTEGER                              4           0             18            0 
MODO_BAIXA_XML_NOTA_COMPRA      INTEGER                              4           0             19            0 
TIPO_COBRANCA                   VARCHAR                             20           0             20            0 
NFE_EMAIL_SMTPHOST              VARCHAR                            100           0             21            0 
NFE_EMAIL_SMTPPORT              VARCHAR                             30           0             22            0 
NFE_EMAIL_SMTPUSER              VARCHAR                            100           0             23            0 
NFE_EMAIL_SMTPPASS              VARCHAR                             50           0             24            0 
NFE_EMAIL_ASSUNTO               VARCHAR                            100           0             25            0 
NFE_EMAIL_MSG                   VARCHAR                            300           0             26            0 
NFE_EMAIL_ENVIO                 VARCHAR                            100           0             27            0 
NFE_EMAIL_SSL                   CHAR                                 1           0             28            0 
NFE_EMAIL_TLS                   CHAR                                 1           0             29            0 
NFE_CERTIFICADO_CAMINHO         VARCHAR                            300           0             30            0 
NFE_CERTIFICADO_SSLLIB          VARCHAR                             30           0             31            0 
MODO_SENHA                      VARCHAR                              3           0             32            0 
MODO_SENHA_AUTO                 VARCHAR                              3           0             33            0 
DT_UPDT_PRODUTOS                DATE                                 4           0             34            0 
VERSAO_BANCO                    VARCHAR                             20           0             35            0 
MUDAR_ID_PRODUTO                CHAR                                 3           0             36            0 
MULTIPLICADOR                   INTEGER                              4           0             37            0 
SUBTRAENTE                      INTEGER                              4           0             38            0 
AGENDA_BACKUP                   VARCHAR                              3           0             39            0 
HRAGENDA_BACKUP                 VARCHAR                              5           0             40            0 
DIR_DESTINO_BACKUP              VARCHAR                            800           0             41            0 
DIR_DESTINO_SEC_BACKUP          VARCHAR                            800           0             42            0 
DESCONTO_GERAL                  CHAR                                 3           0             43            0 
DESCONTO_AUTO_TP_PGTO           CHAR                                 3           0             44            0 
DESCONTO_PRODUTO                CHAR                                 3           0             45            0 
DESCONTO_GRUPO_PRODUTO          CHAR                                 3           0             46            0 
